"03      ","חברי ממשלה","110582","0","0","0","0",""
"0301    ","חברי הממשלה","110582","0","0","0","0",""
"030101  ","חברי הממשלה","18583","0","0","0","0",""
"03010101","משכורת חברי הממשלה","17473","0","0","0","0",""
"03010102","רזרבה להתיקרויות","360","0","0","0","0",""
"03010104","שכ""ד לחברי ממשלה","514","0","0","0","0",""
"03010105","החזר הוצאות רכב","0","0","0","0","0",""
"03010107","רזרבה לעמידה ביעד","236","0","0","0","0",""
"030102  ","אבטחת שרים","91999","0","0","0","0",""
"03010202","אבטחת שרים בלי תיק","21375","0","0","0","0",""
"03010203","אבטחת שר האוצר","3533","0","0","0","0",""
"03010204","אבטחת שר הפנים","2950","0","0","0","0",""
"03010205","אבטחת השר לביטחון פנים","2950","0","0","0","0",""
"03010206","אבטחת שר המשפטים","2950","0","0","0","0",""
"03010207","אבטחת שר המדע","2950","0","0","0","0",""
"03010208","אבטחת שר החינוך","2950","0","0","0","0",""
"03010209","אבטחת שר הבריאות","2950","0","0","0","0",""
"03010210","אבטחת השר לאיכות","2950","0","0","0","0",""
"03010211","אבטחת שר השיכון","2950","0","0","0","0",""
"03010212","אבטחת השר לקליטת עלייה","2950","0","0","0","0",""
"03010213","אבטחת שר החקלאות","2950","0","0","0","0",""
"03010214","אבטחת שר התשתיות","2950","0","0","0","0",""
"03010215","אבטחת שר התמ""ת","2950","0","0","0","0",""
"03010216","אבטחת שר התקשורת","2950","0","0","0","0",""
"03010217","אבטחת שר התחבורה","2950","0","0","0","0",""
"03010218","אבטחת שר התיירות","2950","0","0","0","0",""
"03010219","רכישת רכבים ממוגנים","0","0","0","0","0",""
"03010221","רזרבה לקניות","11041","0","0","0","0",""
"03010222","אבטחת שר הרווחה","2950","0","0","0","0",""
"03010223","אבטחת שר התרבות","2950","0","0","0","0",""
"03010224","אבטחת השר לשיתוף פעולה","2950","0","0","0","0",""
"03010225","אבטחת שר הדתות","2950","0","0","0","0",""
"04      ","משרד ראש הממשלה","2005160","13979","577038","926.5","0","1173"
"0401    ","תחום פעולה כללי","362937","699","156700","238","0","146"
"040111  ","שירותים מרכזיים","81976","0","0","174","0","103"
"04011101","שיא כח אדם","19114","0","0","174","0",""
"04011102","שעות נוספות","4332","0","0","0","74287",""
"04011103","עבודה בלתי צמיתה","19531","0","0","0","1241","103"
"04011104","פעולות הנהלה מיוחדות","0","0","0","0","0",""
"04011105","השתתפות בפרוייקט מרכבה","0","0","0","0","0",""
"04011106","מיכון","13707","0","0","0","0",""
"04011107","עלויות פרישה","10","0","0","0","0",""
"04011108","השתתפות בבוחן ותהילה","2260","0","0","0","0",""
"04011109","השתתפות במשרד האוצר -","128","0","0","0","0",""
"04011113","קתדרה ללימודי יהדות","0","0","0","0","0",""
"04011117","העצמת תשתיות מורשת -","0","0","0","0","0",""
"04011119","השתתפות בפרוייקט ממשל","0","0","0","0","0",""
"04011120","פרוייקטים  ופעולות","7906","0","0","0","0",""
"04011121","השתתפות במשרד לאיכות","0","0","0","0","0",""
"04011123","השתתפות במשרד הביטחון","0","0","0","0","0",""
"04011124","השתתפות בדיור הממשלתי","2000","0","0","0","0",""
"04011125","פרויקט אלמוג","0","0","0","0","0",""
